totalAck	6992

Ack	consumerTimeDelay	BPTimeDelay
0	8	x
1	3	26
2	1	7
3	1	5
4	2	5
5	1	6
6	1	3
7	0	3
8	1	4
9	1	13
10	1	5
11	1	5
12	3	3
13	1	5
14	1	6
15	1	1
16	1	1
17	0	3
18	0	2
19	1	2
20	0	2
21	1	1
22	1	2
23	0	3
24	0	2
25	0	2
26	0	3
27	1	1
28	1	2
29	0	2
30	0	3
31	1	2
32	3	3
33	2	1
34	1	2
35	1	1
36	1	5
37	2	2
38	1	1
39	1	2
40	0	2
41	1	4
42	1	3
43	0	4
44	1	2
45	1	4
46	3	1
47	0	1
48	0	2
49	1	2
50	1	2
51	1	3
52	0	6
53	7	2
54	0	3
55	1	2
56	1	2
57	3	3
58	1	2
59	1	2
60	1	2
61	1	3
62	0	3
63	0	3
64	1	2
65	0	2
66	1	3
67	2	2
68	1	3
69	2	2
70	2	4
71	1	4
72	1	2
73	1	1
74	1	1
75	1	3
76	1	2
77	1	1
78	1	1
79	1	2
80	1	1
81	1	2
82	0	2
83	0	2
84	0	2
85	1	2
86	2	2
87	1	2
88	1	1
89	1	2
90	1	1
91	1	1
92	1	1
93	0	2
94	4	3
95	1	1
96	0	2
97	0	1
98	0	1
99	1	3
100	1	2
101	1	2
102	4	3
103	1	3
104	2	2
105	2	3
106	0	2
107	1	2
108	1	7
109	2	2
110	1	2
111	2	3
112	3	1
113	4	3
114	1	1
115	1	2
116	2	1
117	1	4
118	1	2
119	0	1
120	1	1
121	0	1
122	1	1
123	1	1
124	1	1
125	0	2
126	2	3
127	3	1
128	1	1
129	1	1
130	2	1
131	3	1
132	1	2
133	1	1
134	2	2
135	1	1
136	1	1
137	0	1
138	1	1
139	1	1
140	1	1
141	1	1
142	1	1
143	1	1
144	0	2
145	1	1
146	1	2
147	1	1
148	1	1
149	1	1
150	0	2
151	0	3
152	1	3
153	3	2
154	4	1
155	1	1
156	0	1
157	2	2
158	2	1
159	0	1
160	0	2
161	2	1
162	2	15
163	7	2
164	0	2
165	1	2
166	1	1
167	1	11
168	1	3
169	1	4
170	1	3
171	1	2
172	3	3
173	36	2
174	1	3
175	3	2
176	0	2
177	1	3
178	2	3
179	1	2
180	1	2
181	3	1
182	4	3
183	2	2
184	4	2
185	1	2
186	1	2
187	1	2
188	1	4
189	1	2
190	1	2
191	1	2
192	1	2
193	1	3
194	1	2
195	1	2
196	1	3
197	1	2
198	1	2
199	1	2
200	1	2
201	1	2
202	1	2
203	1	2
204	1	2
205	4	3
206	1	1
207	1	4
208	1	1
209	1	2
210	3	3
211	3	2
212	1	2
213	0	1
214	1	2
215	0	1
216	1	3
217	3	2
218	1	1
219	0	1
220	1	1
221	1	1
222	1	4
223	1	2
224	1	2
225	1	2
226	1	7
227	1	1
228	3	12
229	0	1
230	1	1
231	0	2
232	1	1
233	2	2
234	2	2
235	2	1
236	1	2
237	3	2
238	3	2
239	1	1
240	1	1
241	1	3
242	1	1
243	1	1
244	0	1
245	0	1
246	1	3
247	1	5
248	1	4
249	2	1
250	1	2
251	0	3
252	1	5
253	1	1
254	0	2
255	1	2
256	2	3
257	2	2
258	0	2
259	1	2
260	3	3
261	2	2
262	1	2
263	0	2
264	1	2
265	1	2
266	1	1
267	1	2
268	0	3
269	1	2
270	0	1
271	2	2
272	1	1
273	1	2
274	0	1
275	1	2
276	0	4
277	0	3
278	2	2
279	3	2
280	1	3
281	2	2
282	1	2
283	1	2
284	0	2
285	1	2
286	0	2
287	1	1
288	1	2
289	1	1
290	1	2
291	1	1
292	1	2
293	1	1
294	1	2
295	0	2
296	1	2
297	1	2
298	0	3
299	4	2
300	1	2
301	1	2
302	1	4
303	4	1
304	1	1
305	0	1
306	1	2
307	1	3
308	2	1
309	0	2
310	1	1
311	1	2
312	0	2
313	1	3
314	1	3
315	1	2
316	0	2
317	1	2
318	1	2
319	3	2
320	0	2
321	2	3
322	1	4
323	1	2
324	1	2
325	1	3
326	1	2
327	1	2
328	2	2
329	1	2
330	4	1
331	1	3
332	1	1
333	0	2
334	2	1
335	2	2
336	1	5
337	2	2
338	1	2
339	0	2
340	1	2
341	0	2
342	1	5
343	1	2
344	1	2
345	0	2
346	1	2
347	1	2
348	0	2
349	1	2
350	0	2
351	1	2
352	2	3
353	5	2
354	1	1
355	1	5
356	3	1
357	0	3
358	0	1
359	1	1
360	1	1
361	1	3
362	1	1
363	1	2
364	0	2
365	1	1
366	1	1
367	1	3
368	1	2
369	1	1
370	0	2
371	1	2
372	1	3
373	1	2
374	1	2
375	0	2
376	1	2
377	0	2
378	3	4
379	1	1
380	0	1
381	4	1
382	0	2
383	2	2
384	1	1
385	0	2
386	0	2
387	0	1
388	1	1
389	0	2
390	0	2
391	1	1
392	2	2
393	32	2
394	1	2
395	1	2
396	1	1
397	0	2
398	1	2
399	1	2
400	1	2
401	1	1
402	1	2
403	1	1
404	2	2
405	1	1
406	1	1
407	0	2
408	0	2
409	3	1
410	1	1
411	1	1
412	3	2
413	1	1
414	1	1
415	1	2
416	1	2
417	1	1
418	0	2
419	0	2
420	0	2
421	0	2
422	0	3
423	1	1
424	3	2
425	1	1
426	1	1
427	1	2
428	1	2
429	1	2
430	1	2
431	0	3
432	1	1
433	1	3
434	0	3
435	2	2
436	0	1
437	1	2
438	0	2
439	1	2
440	1	2
441	1	1
442	1	2
443	0	3
444	0	3
445	1	2
446	2	2
447	1	2
448	1	2
449	1	3
450	1	2
451	6	3
452	1	1
453	1	2
454	0	2
455	0	2
456	0	2
457	0	1
458	0	1
459	1	1
460	1	1
461	1	5
462	3	1
463	1	1
464	1	1
465	1	1
466	2	2
467	2	4
468	4	1
469	1	3
470	1	2
471	1	1
472	0	1
473	1	1
474	1	1
475	1	1
476	1	1
477	0	2
478	0	1
479	1	1
480	1	1
481	1	2
482	1	1
483	1	2
484	0	1
485	1	2
486	1	1
487	1	1
488	0	2
489	0	1
490	1	1
491	1	1
492	0	2
493	3	1
494	1	2
495	2	1
496	1	1
497	0	2
498	0	1
499	1	3
500	0	2
501	1	1
502	1	1
503	1	1
504	0	3
505	1	2
506	2	2
507	1	1
508	1	1
509	1	1
510	0	2
511	0	1
512	1	1
513	0	1
514	0	1
515	1	2
516	0	1
517	1	2
518	0	2
519	1	1
520	1	2
521	1	2
522	1	2
523	0	2
524	1	1
525	0	2
526	1	2
527	2	2
528	2	1
529	2	2
530	1	1
531	1	2
532	1	2
533	2	2
534	0	2
535	0	2
536	2	1
537	1	2
538	0	2
539	0	1
540	1	1
541	1	2
542	1	1
543	2	1
544	1	2
545	3	2
546	3	1
547	1	1
548	0	2
549	0	3
550	1	1
551	1	3
552	1	2
553	0	2
554	1	2
555	2	4
556	1	2
557	0	3
558	1	3
559	0	2
560	6	2
561	1	2
562	0	1
563	1	2
564	2	1
565	1	1
566	1	1
567	3	2
568	1	3
569	1	1
570	1	1
571	1	1
572	1	10
573	2	3
574	1	1
575	1	3
576	1	5
577	1	2
578	0	3
579	1	2
580	0	2
581	0	3
582	0	4
583	1	2
584	1	2
585	0	2
586	1	3
587	1	2
588	1	1
589	0	2
590	1	2
591	1	2
592	0	2
593	1	2
594	1	2
595	0	2
596	7	2
597	5	1
598	1	1
599	1	2
600	1	3
601	1	3
602	1	1
603	0	2
604	0	2
605	0	2
606	1	2
607	0	2
608	1	2
609	3	1
610	1	1
611	4	1
612	0	2
613	1	1
614	2	3
615	1	3
616	0	2
617	0	2
618	0	2
619	0	2
620	0	1
621	1	1
622	1	3
623	1	2
624	0	2
625	0	2
626	0	1
627	1	1
628	0	1
629	0	1
630	2	1
631	1	1
632	1	1
633	1	1
634	0	1
635	0	1
636	1	1
637	3	4
638	1	1
639	1	1
640	1	2
641	4	2
642	0	2
643	1	2
644	2	2
645	1	1
646	0	2
647	0	2
648	3	4
649	1	2
650	0	2
651	1	3
652	1	1
653	1	2
654	0	2
655	2	2
656	1	2
657	0	3
658	1	1
659	0	1
660	0	1
661	1	1
662	0	1
663	1	2
664	1	1
665	0	1
666	1	1
667	2	1
668	1	2
669	1	2
670	0	2
671	1	2
672	0	2
673	1	2
674	0	2
675	1	1
676	0	2
677	0	2
678	1	2
679	1	3
680	4	2
681	1	1
682	1	2
683	2	2
684	1	2
685	0	2
686	1	2
687	0	2
688	1	2
689	1	2
690	0	2
691	1	1
692	0	2
693	1	1
694	1	2
695	1	2
696	10	2
697	1	2
698	1	2
699	0	2
700	1	2
701	0	2
702	1	1
703	1	2
704	1	1
705	1	2
706	0	2
707	1	1
708	1	2
709	0	2
710	1	2
711	1	2
712	0	2
713	1	1
714	0	2
715	0	2
716	1	3
717	0	2
718	0	1
719	1	1
720	1	1
721	2	2
722	1	1
723	1	3
724	4	2
725	1	2
726	0	2
727	0	1
728	0	1
729	1	1
730	5	1
731	0	2
732	0	1
733	1	1
734	1	1
735	1	1
736	1	2
737	1	1
738	1	1
739	0	2
740	0	2
741	0	1
742	1	1
743	0	3
744	1	2
745	1	2
746	1	1
747	0	2
748	1	2
749	2	2
750	0	1
751	1	1
752	0	2
753	0	2
754	1	1
755	1	3
756	2	2
757	1	1
758	1	2
759	0	2
760	1	1
761	1	4
762	1	1
763	1	2
764	0	2
765	1	1
766	1	2
767	1	2
768	1	2
769	1	1
770	1	2
771	0	2
772	1	1
773	0	2
774	1	1
775	1	2
776	0	2
777	1	1
778	1	2
779	0	1
780	1	1
781	1	1
782	1	1
783	1	1
784	1	1
785	0	2
786	0	1
787	1	1
788	0	1
789	1	1
790	0	2
791	0	2
792	1	1
793	1	2
794	1	2
795	0	1
796	1	3
797	1	1
798	1	3
799	0	2
800	1	1
801	1	2
802	0	2
803	1	2
804	0	2
805	1	1
806	0	2
807	1	1
808	1	2
809	1	2
810	1	1
811	1	1
812	1	1
813	1	1
814	0	2
815	0	1
816	1	1
817	2	1
818	1	1
819	1	2
820	0	1
821	1	1
822	0	2
823	0	1
824	1	3
825	1	1
826	0	2
827	5	1
828	0	2
829	0	1
830	0	2
831	1	1
832	1	1
833	1	1
834	1	1
835	1	2
836	1	3
837	0	1
838	1	1
839	0	2
840	0	2
841	0	1
842	1	1
843	1	1
844	1	2
845	1	1
846	1	1
847	2	1
848	0	2
849	0	1
850	1	1
851	1	4
852	0	1
853	1	1
854	0	1
855	0	1
856	1	1
857	0	1
858	1	1
859	1	1
860	1	1
861	1	1
862	2	1
863	0	2
864	0	1
865	1	1
866	0	2
867	0	1
868	1	1
869	2	2
870	1	1
871	2	1
872	1	4
873	0	2
874	2	2
875	1	2
876	0	1
877	1	1
878	0	2
879	0	1
880	1	1
881	0	1
882	1	1
883	0	2
884	0	1
885	1	1
886	0	1
887	1	3
888	1	2
889	0	2
890	1	2
891	1	2
892	1	2
893	0	2
894	1	2
895	0	2
896	1	2
897	1	2
898	1	2
899	1	2
900	1	1
901	2	1
902	1	3
903	1	2
904	1	1
905	1	2
906	2	2
907	1	2
908	1	1
909	1	2
910	1	1
911	0	1
912	0	2
913	0	1
914	1	1
915	1	1
916	0	2
917	0	1
918	1	1
919	1	1
920	0	2
921	0	1
922	1	1
923	0	2
924	0	1
925	3	2
926	1	1
927	1	2
928	1	2
929	0	2
930	0	3
931	0	2
932	1	2
933	1	2
934	2	1
935	1	1
936	4	1
937	0	1
938	0	1
939	4	4
940	1	1
941	1	1
942	0	1
943	1	1
944	0	1
945	1	1
946	0	3
947	3	1
948	2	2
949	1	1
950	0	2
951	1	1
952	0	4
953	0	2
954	1	2
955	2	1
956	1	1
957	1	1
958	1	2
959	1	1
960	0	2
961	0	1
962	1	1
963	0	2
964	0	1
965	1	1
966	1	1
967	0	1
968	1	1
969	1	1
970	0	2
971	0	1
972	1	1
973	0	1
974	1	1
975	0	2
976	0	1
977	1	1
978	1	1
979	1	1
980	0	1
981	1	1
982	1	1
983	1	2
984	28	2
985	3	3
986	1	1
987	0	2
988	0	2
989	1	1
990	1	1
991	0	2
992	0	1
993	1	3
994	0	1
995	1	1
996	0	1
997	1	1
998	0	1
999	1	1
1000	1	1
1001	0	1
1002	1	1
1003	1	1
1004	2	1
1005	1	1
1006	0	2
1007	0	1
1008	1	1
1009	0	2
1010	16	3
1011	2	3
1012	1	2
1013	0	1
1014	1	1
1015	1	1
1016	0	1
1017	0	1
1018	1	1
1019	1	2
1020	0	1
1021	1	1
1022	1	1
1023	0	2
1024	1	2
1025	0	2
1026	3	2
1027	0	2
1028	1	2
1029	0	2
1030	1	2
1031	1	3
1032	0	2
1033	1	2
1034	0	2
1035	1	1
1036	1	2
1037	2	2
1038	1	2
1039	0	2
1040	1	1
1041	1	1
1042	0	2
1043	0	2
1044	0	2
1045	1	2
1046	1	2
1047	3	3
1048	1	2
1049	4	2
1050	3	2
1051	0	2
1052	1	3
1053	2	4
1054	1	2
1055	0	2
1056	1	1
1057	1	3
1058	0	2
1059	1	3
1060	1	2
1061	1	3
1062	1	1
1063	0	2
1064	0	2
1065	1	1
1066	1	2
1067	0	2
1068	0	1
1069	0	1
1070	1	1
1071	1	1
1072	0	1
1073	1	1
1074	1	1
1075	0	1
1076	0	1
1077	1	1
1078	0	1
1079	0	1
1080	3	1
1081	1	1
1082	0	2
1083	0	1
1084	1	1
1085	1	1
1086	0	3
1087	0	1
1088	0	1
1089	1	1
1090	2	1
1091	0	1
