6992

Ack	consumerTimeDelay	BPTimeDelay
0	1	x
1	0	1
2	1	2
3	1	1
4	0	2
5	0	2
6	0	2
7	1	2
8	0	2
9	1	2
10	0	2
11	1	1
12	1	1
13	0	2
14	0	1
15	0	2
16	3	3
17	2	1
18	0	1
19	1	1
20	1	1
21	1	1
22	1	1
23	0	1
24	1	3
25	0	1
26	1	1
27	0	1
28	1	1
29	1	2
30	1	2
31	0	2
32	1	1
33	1	1
34	1	2
35	0	2
36	2	2
37	1	1
38	1	1
39	1	2
40	0	2
41	1	2
42	3	1
43	1	1
44	1	2
45	4	1
46	1	1
47	1	2
48	0	1
49	1	3
50	2	2
51	1	1
52	1	1
53	1	1
54	1	1
55	0	2
56	0	2
57	1	1
58	1	1
59	1	2
60	0	2
61	0	2
62	1	2
63	0	2
64	1	1
65	1	1
66	0	2
67	1	2
68	1	1
69	0	1
70	1	1
71	0	1
72	0	1
73	1	1
74	0	1
75	1	3
76	0	2
77	0	2
78	2	1
79	0	1
80	1	1
81	0	1
82	1	1
83	1	2
84	1	1
85	0	1
86	1	1
87	0	2
88	0	2
89	0	2
90	1	1
91	1	2
92	7	2
93	0	2
94	0	1
95	1	1
96	2	3
97	1	1
98	1	3
99	0	2
100	1	1
101	0	3
102	1	2
103	0	1
104	1	1
105	1	1
106	0	2
107	0	2
108	0	3
109	0	2
110	0	2
111	1	2
112	1	1
113	1	2
114	1	3
115	1	3
116	1	2
117	0	2
118	0	2
119	1	1
120	1	1
121	1	1
122	1	2
123	0	2
124	0	2
125	1	1
126	1	1
127	0	2
128	0	2
129	1	2
130	1	1
131	1	1
132	0	2
133	0	2
134	0	2
135	1	2
136	1	2
137	0	2
138	1	2
139	1	2
140	0	3
141	1	1
142	1	2
143	0	2
144	0	2
145	0	1
146	1	1
147	1	1
148	0	1
149	0	1
150	0	1
151	1	1
152	0	1
153	1	1
154	0	1
155	1	1
156	0	1
157	0	1
158	1	1
159	0	1
160	1	1
161	1	1
162	1	1
163	1	1
164	0	1
165	1	1
166	0	1
167	1	1
168	0	1
169	5	2
170	1	1
171	1	2
172	0	3
173	1	1
174	2	1
175	1	1
176	0	2
177	0	2
178	0	2
179	1	1
180	1	1
181	29	10
182	0	2
183	2	3
184	0	2
185	3	1
186	2	3
187	1	2
188	2	2
189	3	2
190	0	1
191	1	1
192	0	2
193	0	1
194	1	1
195	1	1
196	0	2
197	1	1
198	1	2
199	0	2
200	0	2
201	1	2
202	0	1
203	1	2
204	1	1
205	13	2
206	1	1
207	1	2
208	0	2
209	1	2
210	0	2
211	1	1
212	1	2
213	1	2
214	0	2
215	0	2
216	0	2
217	0	2
218	0	1
219	1	2
220	1	1
221	1	2
222	0	1
223	1	1
224	1	2
225	0	2
226	0	2
227	1	1
228	1	3
229	4	1
230	1	1
231	0	1
232	1	1
233	0	1
234	3	2
235	1	1
236	0	2
237	0	1
238	1	1
239	0	1
240	0	1
241	1	1
242	2	1
243	1	1
244	1	1
245	0	1
246	1	1
247	0	1
248	0	2
249	0	1
250	0	1
251	0	2
252	1	2
253	0	1
254	0	2
255	0	2
256	0	1
257	1	1
258	0	1
259	1	1
260	0	1
261	1	2
262	0	1
263	1	1
264	0	1
265	1	1
266	0	1
267	1	1
268	1	1
269	2	1
270	0	1
271	1	1
272	1	1
273	0	1
274	0	1
275	1	1
276	0	2
277	0	1
278	1	1
279	1	1
280	0	2
281	0	2
282	0	1
283	1	1
284	0	1
285	0	1
286	1	1
287	0	1
288	1	1
289	1	2
290	0	1
291	1	1
292	1	2
293	0	1
294	1	1
295	0	2
296	0	2
297	1	1
298	0	1
299	1	1
300	0	2
301	1	1
302	0	1
303	1	1
304	1	1
305	1	1
306	1	1
307	0	1
308	1	1
309	0	1
310	0	1
311	0	1
312	0	1
313	1	1
314	0	1
315	1	1
316	0	1
317	0	2
318	0	1
319	1	1
320	0	1
321	1	1
322	1	2
323	0	2
324	2	3
325	2	3
326	1	2
327	0	2
328	1	2
329	1	6
330	0	1
331	1	1
332	0	2
333	1	3
334	1	2
335	0	2
336	1	2
337	0	1
338	1	1
339	0	1
340	1	1
341	1	1
342	1	1
343	0	1
344	1	1
345	0	1
346	1	1
347	0	1
348	1	1
349	0	1
350	0	1
351	0	1
352	1	1
353	1	1
354	0	1
355	1	1
356	0	1
357	1	1
358	0	1
359	0	1
360	1	1
361	0	1
362	1	1
363	0	2
364	1	2
365	1	1
366	1	2
367	1	2
368	0	2
369	2	2
370	0	1
371	1	1
372	0	1
373	1	1
374	0	2
375	1	1
376	0	2
377	0	2
378	1	1
379	1	1
380	0	1
381	1	1
382	0	2
383	0	1
384	1	1
385	0	1
386	1	1
387	0	2
388	0	1
389	1	1
390	0	1
391	0	1
392	1	1
393	0	1
394	1	1
395	1	1
396	0	1
397	1	1
398	0	1
399	1	1
400	1	1
401	1	1
402	3	1
403	1	2
404	1	1
405	1	2
406	1	3
407	1	2
408	1	1
409	1	2
410	2	3
411	2	2
412	1	1
413	1	2
414	1	2
415	1	2
416	1	1
417	0	1
418	1	1
419	0	1
420	1	1
421	0	1
422	1	2
423	0	3
424	1	2
425	0	2
426	0	1
427	1	1
428	0	1
429	0	1
430	1	3
431	2	2
432	1	2
433	2	1
434	1	1
435	1	1
436	1	1
437	1	1
438	1	1
439	3	1
440	2	1
441	0	2
442	0	1
443	1	1
444	1	1
445	2	1
446	0	1
447	0	1
448	1	1
449	1	1
450	0	1
451	1	1
452	0	2
453	2	1
454	4	2
455	1	1
456	0	1
457	0	1
458	1	1
459	2	1
460	1	1
461	0	1
462	1	1
463	1	1
464	0	1
465	1	1
466	0	2
467	0	1
468	1	1
469	0	1
470	1	1
471	1	1
472	0	1
473	1	1
474	0	1
475	1	1
476	1	1
477	1	1
478	1	1
479	0	2
480	2	1
481	0	1
482	1	1
483	0	1
484	0	1
485	1	1
486	0	1
487	1	1
488	0	3
489	1	2
490	1	1
491	1	2
492	0	2
493	0	2
494	1	2
495	1	2
496	1	2
497	0	2
498	0	2
499	1	1
500	1	1
501	1	2
502	2	1
503	0	2
504	0	2
505	0	2
506	1	1
507	1	1
508	2	1
509	1	1
510	1	1
511	1	1
512	1	1
513	1	3
514	3	2
515	0	2
516	1	1
517	1	1
518	1	1
519	1	1
520	1	2
521	2	2
522	1	1
523	1	1
524	1	1
525	1	2
526	0	2
527	0	2
528	1	1
529	1	2
530	1	1
531	0	1
532	1	1
533	1	2
534	4	3
535	1	1
536	1	1
537	0	2
538	1	1
539	0	1
540	1	1
541	0	1
542	3	3
543	2	1
544	0	1
545	1	1
546	1	1
547	0	1
548	1	1
549	0	2
550	0	3
551	3	1
552	0	2
553	1	2
554	0	2
555	0	2
556	0	3
557	0	2
558	0	1
559	1	1
560	1	1
561	0	2
562	0	1
563	1	2
564	1	3
565	0	2
566	1	1
567	1	1
568	0	2
569	0	3
570	1	2
571	0	2
572	0	2
573	0	1
574	1	1
575	0	2
576	0	1
577	1	1
578	1	2
579	0	2
580	0	1
581	1	1
582	0	1
583	1	1
584	0	1
585	1	1
586	0	1
587	3	2
588	0	1
589	0	1
590	0	1
591	0	1
592	1	1
593	0	1
594	1	1
595	0	2
596	1	1
597	1	1
598	0	1
599	1	1
600	0	1
601	1	1
602	1	2
603	0	2
604	0	2
605	1	2
606	0	2
607	1	1
608	1	1
609	1	2
610	0	2
611	0	2
612	1	2
613	1	1
614	0	1
615	1	1
616	0	1
617	0	1
618	1	1
619	0	1
620	1	1
621	0	1
622	1	2
623	0	1
624	0	1
625	41	1
626	0	2
627	2	2
628	0	2
629	0	2
630	1	1
631	1	2
632	0	3
633	4	1
634	4	1
635	1	1
636	5	1
637	1	1
638	0	2
639	0	2
640	0	2
641	0	1
642	0	1
643	1	1
644	0	1
645	1	2
646	0	2
647	0	2
648	0	2
649	1	1
650	1	2
651	1	1
652	0	2
653	0	1
654	0	2
655	0	1
656	1	1
657	0	1
658	1	1
659	0	1
660	3	2
661	3	2
662	1	1
663	0	1
664	0	1
665	1	1
666	1	1
667	1	1
668	0	1
669	1	1
670	0	2
671	0	1
672	1	1
673	0	1
674	1	1
675	2	1
676	1	1
677	0	2
678	0	1
679	1	1
680	0	1
681	0	1
682	1	1
683	0	1
684	1	1
685	1	2
686	1	2
687	0	2
688	0	2
689	0	2
690	1	1
691	1	2
692	2	2
693	1	1
694	0	2
695	0	2
696	0	2
697	1	1
698	3	1
699	0	2
700	0	2
701	1	1
702	2	1
703	1	1
704	0	1
705	1	3
706	0	1
707	1	1
708	0	1
709	1	1
710	0	2
711	0	2
712	0	2
713	0	2
714	1	1
715	1	2
716	3	2
717	0	2
718	1	1
719	1	1
720	1	3
721	4	2
722	1	2
723	0	2
724	0	1
725	3	2
726	0	1
727	0	2
728	1	2
729	0	2
730	1	2
731	1	1
732	2	2
733	1	1
734	0	1
735	1	1
736	1	1
737	0	2
738	1	1
739	0	2
740	0	1
741	1	1
742	0	1
743	1	1
744	0	1
745	1	1
746	0	1
747	2	2
748	1	2
749	0	2
750	0	2
751	1	1
752	1	1
753	1	2
754	1	2
755	1	1
756	1	2
757	0	1
758	1	1
759	0	1
760	0	2
761	0	1
762	0	2
763	0	2
764	0	2
765	0	1
766	1	1
767	1	2
768	0	2
769	0	2
770	1	2
771	1	1
772	0	2
773	0	2
774	0	3
775	1	2
776	1	1
777	0	1
778	0	1
779	1	1
780	0	1
781	1	1
782	1	1
783	2	1
784	1	2
785	1	1
786	0	1
787	1	1
788	0	1
789	1	1
790	1	1
791	0	1
792	1	1
793	0	2
794	0	1
795	1	1
796	0	1
797	1	1
798	0	1
799	1	1
800	0	1
801	1	1
802	1	1
803	0	2
804	0	1
805	1	1
806	0	1
807	0	1
808	1	1
809	0	1
810	0	1
811	1	2
812	0	1
813	1	2
814	1	3
815	0	2
816	1	4
817	1	3
818	1	2
819	0	2
820	1	2
821	0	2
822	1	1
823	1	1
824	5	2
825	1	1
826	1	1
827	0	1
828	1	2
829	1	2
830	0	2
831	0	1
832	1	2
833	0	2
834	0	2
835	3	2
836	5	1
837	1	1
838	0	1
839	1	1
840	0	2
841	1	2
842	0	2
843	0	2
844	0	2
845	0	2
846	0	2
847	1	1
848	1	2
849	1	1
850	0	2
851	0	2
852	0	2
853	0	2
854	1	1
855	1	3
856	0	1
857	0	1
858	0	2
859	0	1
860	1	2
861	1	2
862	1	1
863	1	2
864	0	1
865	1	1
866	0	1
867	1	1
